,text
0,phận cong :))))
1,hay thí
2,2026 còn ai xem ko
3,Đây
4,team 2026
5,nhảy từ năm 2026 qua nek hí hí=>
6,Ai còn xem hong
7,2026
8,Chị xim❤xing
9,nhạc hay quasaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa]
10,"Thú vị quá, ko ngờ tới h vẫn xem:))"
11,Wow hay quá❤❤❤❤
12,2026 rồi sao
13,Rap như đọc
14,Ngầu quá các anh chị ơi
15,Xưa mê bài này vãi luôn ấy=)))
16,hay quá 🎉❤😮
17,yêu quá hera team
18,Bây h nghe lại vẫn hay😊
19,Ai hỏi
20,video này nhiều lượt xem vì nó quá BỰA 🙄🙄🙄🙄
21,ủa nhớ trc coi hay lắm mak tar
22,"Mấy đứa lửa chùa rap gắt thiệt,gắt như cạp 😂😂😂 tự tin không bằng mặt dày 😂😂😂"
23,Em là Fan simmy nhè hehe
24,Anh kai ơi
25,Chị mèo tri mý đun na Đan cấp
26,"2026 r, ngày tr xem cái này nhiều v"
27,em yeu cchi meo siimi
28,Top 1 rồi các bạn fan hâm mộ của chị mèo simmy cute
29,Gì cơ Hokage phai phai
30,ôn lại 4 năm trước
31,t trễ nhất
32,hiep dam lo tai
33,Buồn cười
34,Rồi rồi mày xong rồi đụng đến HeRo Team là mày xong rồi 😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😠😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡
35,😊😃
36,what phong cận cong á
37,Ai còn coi không
38,Chị mèo simmy đỉnh quả trời
39,Khét vãi lồng đèn!!🎉🎉🎉
40,"Tôi lúc đó cũng reaction streamers đại chiến

❤❤❤❤❤❤❤❤❤❤❤❤❤"
41,hay quá ạ
42,"Hồi đó nghe hay mà giờ nghe lại vẫn gắt

Gắt như cạp"
43,2025🎉
44,Hay quá 🎉🎉🎉🎉🎉hero team
45,hay chốn lày luôn ak còn rụng mẹ chim nx
46,sammy rap hay quá
47,dau dau qua
48,"1:17  siro thành sori ở khúc này ha :))
Mà bài nay hay , đáng xem và nghe 👁👄👁"
49,em thích 2 anh cả
50,Tên ông rikazu hơi khó đọc á
51,18/12/2025 nge lại vẫn rất chi là high =))
52,chị HTL xinh quéee
53,"Sao đoạn rap của siro rối não vậy😅😅😅😅😅😅😅😅😅😅
Còn anh vịt rap cái gì mà hỗn vậy dám kêu bác gấu đi thi giải thế giới  động vật à và người ta là bác gấu chứ đâu phải con gấu😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡"
54,nhạc bùn lổ qué😭
55,Hero team
56,tính ra view cucng cao
57,tận 70 tr cơ á
58,Ai còn coi ko 2025🎉🎉🎉
59,"*_4 năm rồi à, từ cái thời trẻ trâu đó tới giờ 4 năm rồi á?_*"
60,Anh🔪
61,thảm hoạ âm nhạc việt giờ bật ‘Pikleball’ còn hay hơn
62,ê nghe hay mà😂
63,4 năm 😊r ai còn xem không
64,😂
65,He ro mãi đỉnh
66,"hoài niệm quá, niệm phật."
67,Anh phong hát hay quá 🎉🎉🎉🎉🎉
68,Ui xuất sắc luônnn anh oii😭
69,Câm mồm đi team sim sam
70,Hoài niệm thật😢😊
71,Nhìn phong như trang thẳng nhưng không biết có phải không 💔
72,đố đứa nào muộn hơn t
73,tự dưng tôi mở nghe lại
74,Ô Mai gót
75,Em tên là Quỳnh Anh em rất thích chị Sam mi và chị Simi em là Phan của chị đó sơ mi và Simi ơi em cũng là Phan của Haru tim đường đó nhớ nha em tên là Quỳnh Anhdone at one and I’m not gonna kill you I am done last one and one
76,nghe lại vẫn cuốn
77,2025 ai xem lại k :))
78,"Nhi đi sòm kiện jjebjhin đi 😅be8b j dubneibejejbekrjrr j rời sợ mẹ K krjb ỉn
Heinn"
79,Đoạn 3:12 giây 😊
80,Bác gấu kìa
81,Xi rô à
82,9999999999999999999999999999 điểm🎉❤
83,Em thích nhất kamui gap mà chị có một khúc nhỏ à
84,Không phải là mọi người hả em là fan của mọi người nè
85,t thuộc r
86,sao xưa thuộc baid này hay vtr
87,Chất quá zậy
88,khét quá 2 oi
89,bm ht1 solo mace ko nhoc
90,solo cry ko nhoc
91,2025 còn ai coi video này không 😅
92,1:21
93,Chi sam ngâu quá❤❤❤❤❤
94,hero mãi đỉnh
95,nghe lại ngại quá bây ơi😊
96,Em thấy anh mích  tơ dịch ở phim chị an
97,đoạn cô ngân rap gánh cả bài
98,Ai trễ hơn😊
99,Bây giờ nghe lại thấy trẻ trâu quá
100,nhưng cô ngân lam gi cha thua hơn meo simmy
101,Cô em qua bên anh Lộc xem tiếp đây
102,Em thấy anh siro hát dở hơn chị mèo simmy nhiều thế
103,Em thấy anh siro hát dở hơn chị mèo simmy nhiều thế
104,😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊
105,. ở 2025 :)) cháy quớ mina oi 😭🤞
106,29/11/2025
107,Em chọc chị mèo simmy ❤❤❤🎉🎉🎉🎉😊😊😊
108,nhạc hay như đầu c*
109,toàn tây rap như đọc thơ thế
110,2025 r
111,Em có chơi game này nè em đăng ký và like rồi nha🎉🎉❤❤
112,Có bác gấu luôn
113,Rap nhu dai
114,con nam mô a di đà phật
115,Em mãi là fan hero team
116,Em chào chị sam
117,I love you  kamui
118,Kairon em sẽ cứu anh
119,Simmy của em đó
120,Siro ơi anh hát nhỏ đi anh hát to quá
121,Phong cận đẹp trai
122,2025 đứa nào còn xem điểm danh
123,Hà thảo Linh là ai vậy mn
124,Cả hai hát hay quá
125,omg
126,ê có kairon kìa mọi người ơi😊😊
127,2025 còn ai nghe không ạ?? bây giờ đang nghe cảm thấy nhớ những năm tháng bị cướp cây mp5 mà khóc hết nước mắt kkkk
128,1:21
129,Xàm vãi
