,processed_text
0,huhu buồn quá . hôm nay tôi không được đi chơi với bạn : (
1,xin lỗi anh Quí vì thời đó đã chê anh
2,Mặc kệ chê tôi thấy hay vãi chưởng
3,đừng đùa với lượt view của anh ấy
4,sao lai lam được the
5,"ai từ nhóm VSTAR qua đây không , đoàn mình ấy , xin lỗi anh Qúy :rolling_on_the_floor_laughing: :upside-down_face:"
6,"no lam gi vậy "" ?"
7,whet
8,omg
9,đã nghe one of the girls và thấy bài này hay hơn chán :smiling_face_with_hearts:
10,Hitler quỳ xuống gọi thầy :party_popper:
11,: (
12,2026 ai còn xem không
13,Thấy bài hay :smiling_face_with_smiling_eyes: mà ai cũng coi nó như thảm họa vậy :face_with_tears_of_joy:
14,hAY THAT
15,bây giờ kể về 1 lần đi ăn bánh trả tiền
16,that la vậy ai truong
17,Pickleball rớt top Việt Nam mới tinh vương lên vượt mặc anh lớn trong bản xếp hạng nhạc hay
18,uow
19,"Đjt mẹ 1 năm trời từ khi pickleBALL bị trốn thoát mà mình vẫn đéo làm được gì . Thôi không sao , năm 2026 sẽ là năm của mình :rose:"
20,2026 roi NGHE XONG IA KHAI XUAN MIA LUON
21,kk
22,* _ - KSI phải gọi cái này bằng skibidi - _ * :speaking_head: :fire:
23,= ) )
24,Tôi sẽ cố hồi sinh bài này
25,Hay quá con tôi mê luôn :face_with_tears_of_joy:
26,:party_popper:
27,Pickieball
28,hahaa
29,nghe cái bài việt nam mới tinh gì đó xong qua đây rửa tai phát
30,Sao giờ nghe lại thấy hay thế nhỉ :pensive_face: :victory_hand:
31,Giai điệu hay mà
32,kể ra bài này còn hay hơn việt nam mới tinh nhể
33,"Thực ra tôi nghĩ vấn đề là anh ấy đã không xây dựng mv đủ hài hước mà ngược lại là ảnh của anh nên tự nhiẻn thấy cảm giác bị phản cảm chứ câu từ nó cứ bị hài hước lắm nhé , không quá thô tục đâu"
34,Anh hẹn em Mr bean Gia hạn Bigbabol
35,Đỡ hơn quốc kang :face_with_tears_of_joy:
36,Phải mơt bài này nghe để rửa tai sau khi nghe bài Một Việt Nam mới tinh :face_with_tears_of_joy:
37,Sau khi bài việt nam mới ting tôi thấy có lỗi với tác giả bài này :face_with_tears_of_joy:
38,"Câu từ lộn xộn em không cảm nhận được , chắc íu nghề :grinning_face_with_sweat:"
39,"Đừng quá khắt khe với bài này vì cta vẫn còn "" Việt Nam mới tinh """
40,Hôm nay tôi sẽ tra tấn hai con chuột bị sập bẫy bằng bài này
41,khi tôi hấp hối tôi sẽ nói với bố mẹ hãy mời tất cả họ hàng người quen đến dự tang lễ về bật bài này rồi tất cả mọi người sẽ phải ghen tị vì người nằm trong quan tài là tôi chứ không phải họ
42,Hãy chọn 1 . Nghe bài này 10 tiếng 2 . Nghe tung tung tung sahur Bạn chọn cái nào ?
43,Checkin after 1 year : ) Nhạc anh vẫn pick như ngày nào : )
44,"bạn tôi tưởng như đã không thể sống lại nhưng khi tôi bật bài này lên thì anh ấy tỉnh dậy để tắt nó đi , một người bạn khác của tôi bị liệt bẩm sinh nhưng khi tôi bật bài này thì cậu ấy đã có thể đứng dậy để nhảy khỏi cửa sổ : )"
45,please stop making music
46,1 năm sau vẫn nghe bài này
47,Mình mở bài pickleball của Đỗ Phú Quí lên là được quá ez
48,Nhạc hay vãi cả lúa .
49,"Chê cho dữ vô 8 , 8tr view rồi"
50,tôi quay lại đây sau khi nghe bài Việt Nam mới tinh = )
51,Gay quá
52,không
53,sau khi nghe việt nam mới tinh thì nhạc anh còn hay chán
54,huhhuu
55,dep
56,Tôi đã quay lại sau khi nghe Lời xin lỗi của tổng tài . Nói thật nhạc anh hay chán hihihi .
57,"Bạn tôi một người sống thực vật đã có thể đứng dậy tắt bài hát , cảm ơn anh :grinning_face_with_sweat:"
58,"Anh có tìm năng đấy , giấu mẹ nó đi anh ơi :face_with_tears_of_joy:"
59,Tại sao lại có 69k like vậy :skull_and_crossbones:
60,Ê nhớ quá trời
61,Hay vãi :face_with_tears_of_joy:
62,Cái bài này khiến anh tôi cực ghét bài này
63,vô nghĩa
64,ít nhất là người vẫn hơn nhạc của blackslion
65,tôi giền lun rồi tôi hay nghe bài này mỗi ngày
66,thấy hay mà ta
67,"nhạc của anh truyền cho em rất nhiều cảm hứng , nghe rất đã , đập thẻ bao lên cảm ơn anh rất nhiều < 3"
68,nhac nhu con cac dit me may
69,Dinh cao am nhac hien dai di truoc thoi da . 2025 roi toi moi tim thay ban nhac co dien tan thoi manh me nhu the nay . không the nao ton tai thu am nhac dinh cao the nay vao 1 nam truoc duoc ro rang la do nhé du hanh thoi gian da soan no . Absolute Trash ! P / S không the tin duoc toi bi lein 2 chan cung phai dung day de danh lay cong ly cho lo tai cua minh !
70,Não đã chạy trc khi nó thối :loudly_crying_face: :loudly_crying_face: :folded_hands: :folded_hands:
71,tôi đã quay trở lại đây để rửa tai
72,không bt ai nghe nổi hết bài này không
73,Gay vãi
74,Bài này vừa ra được mấy tuần chỗ tôi nó xây chục cái sân :face_with_tears_of_joy:
75,thảm họa âm nhạc = )
