no,text
0,2 - 8 mv được chào_đời.. 2 - 9 lễ Quốc_Khánh mv đạt mốc 50tr lượt xem. Tùng đi ăn lễ với mừng lượt xem khủng luôn nhá :hai_trái_tim: :dấu_hôn: sky mãi bên anh :hôn_gió: mong là 2 - 10 100tr lượt xem :mắt_trái_tim: :nhảy_nữ:
1,5 ngày 13tr lượt xem. klq nhưng I dont talk anymore: vậy
2,"Chị đã xinh lắm rồi, nhưng chị còn xinh hơn nhiều nếu chị không hát.: )"
3,"Khi mình giỏi lĩnh vựt gì sẽ hay hơn, nếu bạn chọn đường này sẽ sớm bị quên_lãng hơn"
4,mình thấy chị chi cố_gắng nhiều rồi đỡ hơn mấy đứa không lên sân_khấu diễn được như ngta mà cứ chửi
5,Tùng ơi mv vô_cùng tuyệt_vời rất hay xem đi xem_lại rất nhiều lần nhưng vẫn không chán. Sky < 3 Tùng
6,tùng oppa max hay. xem_lại chục lần vẫn không ngán :mắt_trái_tim:
7,Tắt chế_độ tự_phát jk Sky oi Bống bong bang bang tang nhanh quá :kiên_nhẫn:
8,"Tài_năng anh này thực_sự là viên ngọc_ẩn_giấu của vpop... Giấu hết luôn đi càng tốt ạ, đừng lộ ra nữa: ) )"
9,@ Uyển_Trang_Sky female :dấu_tích: ️: số người thấy bà khá giống phù_thuỷ :van_xin:
10,"Trời_ơi, em tôi nhìn mấy phát nó thuộc_lòng bài rồi!!!"
11,thế éo nào Chi_Pu nhìn giống Linh kav3 thế??
12,"anh đúng là một nhân_tài của việt_nam này, rất chất và rất phong_cách, mãi yêu"
13,Bighit dau có nho_son tùng dich phan rap trong bài fire ra tieng viet dau
14,"Chi_Pu thì hát cũng được, diễn cũng được, hotgirl tất_nhiên phải xinh nhưng_mà xinh với hát hay thì chẳng lquan. Cái gì chị ấy cũng là được một_tí chẳng hiểu là chính_xác chị ấy theo cái gì nhưng nếu trở_thành ca_sĩ thì giọng của Chi phải nói thật là KHÔNG HAY: )"
15,vỗ_tay vỗ_tay vỗ_tay vỗ_tay vỗ_tay vỗ_tay
16,Những_ai chê_bai bài này đều chẵng bt gì về âm_nhạc :cười_ra_nước_mắt:
17,Ngta làm gì mấy cha mấy mẹ cũng nói :cười_ra_nước_mắt: Làm_sao mới vừa_lòng mấy bố mấy mẹ đây :cười_ra_nước_mắt:
18,chưa đầy 1 ngày đã hơn 1 triệu lượt xem rồi ae.......
19,"Rõ_ràng, hater càng nhiều, lượng lượt xem càng nhiều. Hater càng nhiều bài hát sẽ nổi_tiếng càng nhanh và trong 1 thời_gian ngắn.: ) ) ) More hater: ) ) ) )"
20,Hơn 34tr lượt w gần bằng we don ' tôi talk anymore
21,Năm_ngoái ngất_ngây với MC Chi_Pu trong GHVN. Năm nay ngất_ngây với ca_sĩ Chi_Pu. @ @
22,soi kỹ ra robot cũng có mụn. huống_hồ gì người bình phàm như chúng_ta.: )
23,"Có_thể có 1 vài phân_đoạn giống trong MV KPOP những thật_sự không_thể phủ_nhận được bài hát này hay, dễ. Nghe..."
24,"beat của DJ Heyder mà, chế tông Làm vào nhạc khác hẳn nhỉ, I can ' tôi belive"
25,cái con đạo bài hát ư đạo kìa đạo bài kìa con khùng đạo nhạc kìa haha :cười_ra_nước_mắt: :cười_ra_nước_mắt: :cười_ra_nước_mắt:
26,Em thấy rạp hơi căng nhất_là anh siro offsel
